ppo_model_8200 vs ppo_model_8150 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_8200 vs ppo_model_8100 | score=1.0 | exp=0.50 | 1501->1502 | 1500->1499
ppo_model_8200 vs ppo_model_7950 | score=0.0 | exp=0.50 | 1502->1501 | 1500->1501
ppo_model_8200 vs ppo_model_8050 | score=1.0 | exp=0.50 | 1501->1502 | 1500->1499
ppo_model_8200 vs ppo_model_7400 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_8200 vs ppo_model_5550 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_8200 vs ppo_model_650 | score=1.0 | exp=0.51 | 1504->1505 | 1500->1499
ppo_model_8200 vs ppo_model_600 | score=1.0 | exp=0.51 | 1505->1506 | 1500->1499
ppo_model_8200 vs ppo_model_7100 | score=1.0 | exp=0.51 | 1506->1507 | 1500->1499
ppo_model_8200 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_8200 vs ppo_model_5350 | score=1.0 | exp=0.51 | 1508->1509 | 1500->1499
ppo_model_8200 vs ppo_model_8250 | score=0.0 | exp=0.51 | 1509->1508 | 1500->1501
ppo_model_8150 vs ppo_model_8100 | score=0.0 | exp=0.50 | 1499->1498 | 1499->1500
ppo_model_8150 vs ppo_model_7950 | score=1.0 | exp=0.50 | 1498->1499 | 1501->1500
ppo_model_8150 vs ppo_model_8050 | score=1.0 | exp=0.50 | 1499->1500 | 1499->1498
ppo_model_8150 vs ppo_model_7400 | score=1.0 | exp=0.50 | 1500->1501 | 1499->1498
ppo_model_8150 vs ppo_model_5550 | score=1.0 | exp=0.50 | 1501->1502 | 1499->1498
ppo_model_8150 vs ppo_model_650 | score=1.0 | exp=0.50 | 1502->1503 | 1499->1498
ppo_model_8150 vs ppo_model_600 | score=1.0 | exp=0.51 | 1503->1504 | 1499->1498
ppo_model_8150 vs ppo_model_7100 | score=1.0 | exp=0.51 | 1504->1505 | 1499->1498
ppo_model_8150 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1505->1506 | 1499->1498
ppo_model_8150 vs ppo_model_5350 | score=1.0 | exp=0.51 | 1506->1507 | 1499->1498
ppo_model_8150 vs ppo_model_8250 | score=1.0 | exp=0.51 | 1507->1508 | 1501->1500
ppo_model_8100 vs ppo_model_7950 | score=0.0 | exp=0.50 | 1500->1499 | 1500->1501
ppo_model_8100 vs ppo_model_8050 | score=0.0 | exp=0.50 | 1499->1498 | 1498->1499
ppo_model_8100 vs ppo_model_7400 | score=1.0 | exp=0.50 | 1498->1499 | 1498->1497
ppo_model_8100 vs ppo_model_5550 | score=1.0 | exp=0.50 | 1499->1500 | 1498->1497
ppo_model_8100 vs ppo_model_650 | score=1.0 | exp=0.50 | 1500->1501 | 1498->1497
ppo_model_8100 vs ppo_model_600 | score=1.0 | exp=0.50 | 1501->1502 | 1498->1497
ppo_model_8100 vs ppo_model_7100 | score=1.0 | exp=0.51 | 1502->1503 | 1498->1497
ppo_model_8100 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1503->1504 | 1498->1497
ppo_model_8100 vs ppo_model_5350 | score=1.0 | exp=0.51 | 1504->1505 | 1498->1497
ppo_model_8100 vs ppo_model_8250 | score=0.0 | exp=0.51 | 1505->1504 | 1500->1501
ppo_model_7950 vs ppo_model_8050 | score=0.0 | exp=0.50 | 1501->1500 | 1499->1500
ppo_model_7950 vs ppo_model_7400 | score=1.0 | exp=0.50 | 1500->1501 | 1497->1496
ppo_model_7950 vs ppo_model_5550 | score=1.0 | exp=0.51 | 1501->1502 | 1497->1496
ppo_model_7950 vs ppo_model_650 | score=1.0 | exp=0.51 | 1502->1503 | 1497->1496
ppo_model_7950 vs ppo_model_600 | score=1.0 | exp=0.51 | 1503->1504 | 1497->1496
ppo_model_7950 vs ppo_model_7100 | score=1.0 | exp=0.51 | 1504->1505 | 1497->1496
ppo_model_7950 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1505->1506 | 1497->1496
ppo_model_7950 vs ppo_model_5350 | score=0.0 | exp=0.51 | 1506->1505 | 1497->1498
ppo_model_7950 vs ppo_model_8250 | score=0.0 | exp=0.51 | 1505->1504 | 1501->1502
ppo_model_8050 vs ppo_model_7400 | score=1.0 | exp=0.51 | 1500->1501 | 1496->1495
ppo_model_8050 vs ppo_model_5550 | score=0.0 | exp=0.51 | 1501->1500 | 1496->1497
ppo_model_8050 vs ppo_model_650 | score=1.0 | exp=0.51 | 1500->1501 | 1496->1495
ppo_model_8050 vs ppo_model_600 | score=1.0 | exp=0.51 | 1501->1502 | 1496->1495
ppo_model_8050 vs ppo_model_7100 | score=1.0 | exp=0.51 | 1502->1503 | 1496->1495
ppo_model_8050 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1503->1504 | 1496->1495
ppo_model_8050 vs ppo_model_5350 | score=1.0 | exp=0.51 | 1504->1505 | 1498->1497
ppo_model_8050 vs ppo_model_8250 | score=0.0 | exp=0.50 | 1505->1504 | 1502->1503
ppo_model_7400 vs ppo_model_5550 | score=1.0 | exp=0.50 | 1495->1496 | 1497->1496
ppo_model_7400 vs ppo_model_650 | score=1.0 | exp=0.50 | 1496->1497 | 1495->1494
ppo_model_7400 vs ppo_model_600 | score=1.0 | exp=0.50 | 1497->1498 | 1495->1494
ppo_model_7400 vs ppo_model_7100 | score=1.0 | exp=0.50 | 1498->1499 | 1495->1494
ppo_model_7400 vs ppo_model_5900 | score=1.0 | exp=0.51 | 1499->1500 | 1495->1494
ppo_model_7400 vs ppo_model_5350 | score=1.0 | exp=0.50 | 1500->1501 | 1497->1496
ppo_model_7400 vs ppo_model_8250 | score=0.0 | exp=0.50 | 1501->1500 | 1503->1504
ppo_model_5550 vs ppo_model_650 | score=1.0 | exp=0.50 | 1496->1497 | 1494->1493
ppo_model_5550 vs ppo_model_600 | score=1.0 | exp=0.50 | 1497->1498 | 1494->1493
ppo_model_5550 vs ppo_model_7100 | score=0.0 | exp=0.51 | 1498->1497 | 1494->1495
ppo_model_5550 vs ppo_model_5900 | score=0.0 | exp=0.50 | 1497->1496 | 1494->1495
ppo_model_5550 vs ppo_model_5350 | score=1.0 | exp=0.50 | 1496->1497 | 1496->1495
ppo_model_5550 vs ppo_model_8250 | score=1.0 | exp=0.49 | 1497->1498 | 1504->1503
ppo_model_650 vs ppo_model_600 | score=1.0 | exp=0.50 | 1493->1494 | 1493->1492
ppo_model_650 vs ppo_model_7100 | score=0.0 | exp=0.50 | 1494->1493 | 1495->1496
ppo_model_650 vs ppo_model_5900 | score=0.0 | exp=0.50 | 1493->1492 | 1495->1496
ppo_model_650 vs ppo_model_5350 | score=0.0 | exp=0.50 | 1492->1491 | 1495->1496
ppo_model_650 vs ppo_model_8250 | score=1.0 | exp=0.48 | 1491->1492 | 1503->1502
ppo_model_600 vs ppo_model_7100 | score=0.0 | exp=0.49 | 1492->1491 | 1496->1497
ppo_model_600 vs ppo_model_5900 | score=0.0 | exp=0.49 | 1491->1490 | 1496->1497
ppo_model_600 vs ppo_model_5350 | score=0.0 | exp=0.49 | 1490->1489 | 1496->1497
ppo_model_600 vs ppo_model_8250 | score=0.0 | exp=0.48 | 1489->1488 | 1502->1503
ppo_model_7100 vs ppo_model_5900 | score=0.0 | exp=0.50 | 1497->1496 | 1497->1498
ppo_model_7100 vs ppo_model_5350 | score=1.0 | exp=0.50 | 1496->1497 | 1497->1496
ppo_model_7100 vs ppo_model_8250 | score=0.0 | exp=0.49 | 1497->1496 | 1503->1504
ppo_model_5900 vs ppo_model_5350 | score=1.0 | exp=0.50 | 1498->1499 | 1496->1495
ppo_model_5900 vs ppo_model_8250 | score=1.0 | exp=0.49 | 1499->1500 | 1504->1503
ppo_model_5350 vs ppo_model_8250 | score=1.0 | exp=0.49 | 1495->1496 | 1503->1502
ppo_model_8200 vs ppo_model_8150 | score=1.0 | exp=0.50 | 1508->1509 | 1508->1507
ppo_model_8200 vs ppo_model_8100 | score=1.0 | exp=0.51 | 1509->1510 | 1504->1503
ppo_model_8200 vs ppo_model_7950 | score=1.0 | exp=0.51 | 1510->1511 | 1504->1503
ppo_model_8200 vs ppo_model_8050 | score=1.0 | exp=0.51 | 1511->1512 | 1504->1503
ppo_model_8200 vs ppo_model_7400 | score=1.0 | exp=0.52 | 1512->1513 | 1500->1499
ppo_model_8200 vs ppo_model_5550 | score=1.0 | exp=0.52 | 1513->1514 | 1498->1497
ppo_model_8200 vs ppo_model_650 | score=1.0 | exp=0.53 | 1514->1515 | 1492->1491
ppo_model_8200 vs ppo_model_600 | score=1.0 | exp=0.54 | 1515->1516 | 1488->1487
ppo_model_8200 vs ppo_model_7100 | score=0.0 | exp=0.53 | 1516->1515 | 1496->1497
ppo_model_8200 vs ppo_model_5900 | score=1.0 | exp=0.52 | 1515->1515 | 1500->1499
ppo_model_8200 vs ppo_model_5350 | score=1.0 | exp=0.53 | 1515->1516 | 1496->1495
ppo_model_8200 vs ppo_model_8250 | score=1.0 | exp=0.52 | 1516->1517 | 1502->1501
ppo_model_8150 vs ppo_model_8100 | score=1.0 | exp=0.51 | 1507->1508 | 1503->1502
ppo_model_8150 vs ppo_model_7950 | score=1.0 | exp=0.51 | 1508->1509 | 1503->1502
ppo_model_8150 vs ppo_model_8050 | score=1.0 | exp=0.51 | 1509->1510 | 1503->1502
ppo_model_8150 vs ppo_model_7400 | score=1.0 | exp=0.52 | 1510->1511 | 1499->1498
ppo_model_8150 vs ppo_model_5550 | score=1.0 | exp=0.52 | 1511->1512 | 1497->1496
ppo_model_8150 vs ppo_model_650 | score=1.0 | exp=0.53 | 1512->1513 | 1491->1490
ppo_model_8150 vs ppo_model_600 | score=1.0 | exp=0.54 | 1513->1514 | 1487->1486
ppo_model_8150 vs ppo_model_7100 | score=1.0 | exp=0.52 | 1514->1515 | 1497->1496
ppo_model_8150 vs ppo_model_5900 | score=1.0 | exp=0.52 | 1515->1516 | 1499->1498
ppo_model_8150 vs ppo_model_5350 | score=1.0 | exp=0.53 | 1516->1517 | 1495->1494
ppo_model_8150 vs ppo_model_8250 | score=0.0 | exp=0.52 | 1517->1515 | 1501->1502
ppo_model_8100 vs ppo_model_7950 | score=1.0 | exp=0.50 | 1502->1503 | 1502->1501
ppo_model_8100 vs ppo_model_8050 | score=1.0 | exp=0.50 | 1503->1504 | 1502->1501
ppo_model_8100 vs ppo_model_7400 | score=1.0 | exp=0.51 | 1504->1505 | 1498->1497
ppo_model_8100 vs ppo_model_5550 | score=1.0 | exp=0.51 | 1505->1506 | 1496->1495
ppo_model_8100 vs ppo_model_650 | score=1.0 | exp=0.52 | 1506->1507 | 1490->1489
ppo_model_8100 vs ppo_model_600 | score=1.0 | exp=0.53 | 1507->1508 | 1486->1485
ppo_model_8100 vs ppo_model_7100 | score=1.0 | exp=0.52 | 1508->1509 | 1496->1495
ppo_model_8100 vs ppo_model_5900 | score=1.0 | exp=0.52 | 1509->1510 | 1498->1497
ppo_model_8100 vs ppo_model_5350 | score=1.0 | exp=0.52 | 1510->1511 | 1494->1493
ppo_model_8100 vs ppo_model_8250 | score=1.0 | exp=0.51 | 1511->1512 | 1502->1501
ppo_model_7950 vs ppo_model_8050 | score=0.0 | exp=0.50 | 1501->1500 | 1501->1502
ppo_model_7950 vs ppo_model_7400 | score=1.0 | exp=0.50 | 1500->1501 | 1497->1496
