ppo_model_6100 vs ppo_model_6050 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_6100 vs ppo_model_6000 | score=0.0 | exp=0.50 | 1501->1500 | 1500->1501
ppo_model_6100 vs ppo_model_5900 | score=0.0 | exp=0.50 | 1500->1499 | 1500->1501
ppo_model_6100 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1499->1498 | 1500->1501
ppo_model_6100 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1498->1499 | 1500->1499
ppo_model_6100 vs ppo_model_5050 | score=0.0 | exp=0.50 | 1499->1498 | 1500->1501
ppo_model_6100 vs ppo_model_4550 | score=1.0 | exp=0.50 | 1498->1499 | 1500->1499
ppo_model_6100 vs ppo_model_2500 | score=1.0 | exp=0.50 | 1499->1500 | 1500->1499
ppo_model_6100 vs ppo_model_2900 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_6100 vs ppo_model_2850 | score=1.0 | exp=0.50 | 1501->1502 | 1500->1499
ppo_model_6100 vs ppo_model_600 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_6100 vs ppo_model_6150 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_6050 vs ppo_model_6000 | score=0.0 | exp=0.50 | 1499->1498 | 1501->1502
ppo_model_6050 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1498->1499 | 1501->1500
ppo_model_6050 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1499->1498 | 1501->1502
ppo_model_6050 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1498->1499 | 1499->1498
ppo_model_6050 vs ppo_model_5050 | score=1.0 | exp=0.50 | 1499->1500 | 1501->1500
ppo_model_6050 vs ppo_model_4550 | score=1.0 | exp=0.50 | 1500->1501 | 1499->1498
ppo_model_6050 vs ppo_model_2500 | score=1.0 | exp=0.50 | 1501->1502 | 1499->1498
ppo_model_6050 vs ppo_model_2900 | score=1.0 | exp=0.50 | 1502->1503 | 1499->1498
ppo_model_6050 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1503->1504 | 1499->1498
ppo_model_6050 vs ppo_model_600 | score=1.0 | exp=0.51 | 1504->1505 | 1499->1498
ppo_model_6050 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1505->1504 | 1499->1500
ppo_model_6000 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_6000 vs ppo_model_5950 | score=1.0 | exp=0.50 | 1503->1504 | 1502->1501
ppo_model_6000 vs ppo_model_5800 | score=0.0 | exp=0.51 | 1504->1503 | 1498->1499
ppo_model_6000 vs ppo_model_5050 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_6000 vs ppo_model_4550 | score=1.0 | exp=0.51 | 1504->1505 | 1498->1497
ppo_model_6000 vs ppo_model_2500 | score=1.0 | exp=0.51 | 1505->1506 | 1498->1497
ppo_model_6000 vs ppo_model_2900 | score=1.0 | exp=0.51 | 1506->1507 | 1498->1497
ppo_model_6000 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1507->1508 | 1498->1497
ppo_model_6000 vs ppo_model_600 | score=0.0 | exp=0.51 | 1508->1507 | 1498->1499
ppo_model_6000 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_5900 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1499->1498 | 1501->1502
ppo_model_5900 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1498->1499 | 1499->1498
ppo_model_5900 vs ppo_model_5050 | score=1.0 | exp=0.50 | 1499->1500 | 1499->1498
ppo_model_5900 vs ppo_model_4550 | score=1.0 | exp=0.50 | 1500->1501 | 1497->1496
ppo_model_5900 vs ppo_model_2500 | score=1.0 | exp=0.51 | 1501->1502 | 1497->1496
ppo_model_5900 vs ppo_model_2900 | score=1.0 | exp=0.51 | 1502->1503 | 1497->1496
ppo_model_5900 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1503->1504 | 1497->1496
ppo_model_5900 vs ppo_model_600 | score=1.0 | exp=0.51 | 1504->1505 | 1499->1498
ppo_model_5900 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1505->1504 | 1499->1500
ppo_model_5950 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1502->1503 | 1498->1497
ppo_model_5950 vs ppo_model_5050 | score=0.0 | exp=0.51 | 1503->1502 | 1498->1499
ppo_model_5950 vs ppo_model_4550 | score=1.0 | exp=0.51 | 1502->1503 | 1496->1495
ppo_model_5950 vs ppo_model_2500 | score=1.0 | exp=0.51 | 1503->1504 | 1496->1495
ppo_model_5950 vs ppo_model_2900 | score=1.0 | exp=0.51 | 1504->1505 | 1496->1495
ppo_model_5950 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1505->1506 | 1496->1495
ppo_model_5950 vs ppo_model_600 | score=1.0 | exp=0.51 | 1506->1507 | 1498->1497
ppo_model_5950 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_5800 vs ppo_model_5050 | score=1.0 | exp=0.50 | 1497->1498 | 1499->1498
ppo_model_5800 vs ppo_model_4550 | score=1.0 | exp=0.50 | 1498->1499 | 1495->1494
ppo_model_5800 vs ppo_model_2500 | score=1.0 | exp=0.51 | 1499->1500 | 1495->1494
ppo_model_5800 vs ppo_model_2900 | score=1.0 | exp=0.51 | 1500->1501 | 1495->1494
ppo_model_5800 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1501->1502 | 1495->1494
ppo_model_5800 vs ppo_model_600 | score=1.0 | exp=0.51 | 1502->1503 | 1497->1496
ppo_model_5800 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1503->1504 | 1499->1498
ppo_model_5050 vs ppo_model_4550 | score=1.0 | exp=0.51 | 1498->1499 | 1494->1493
ppo_model_5050 vs ppo_model_2500 | score=1.0 | exp=0.51 | 1499->1500 | 1494->1493
ppo_model_5050 vs ppo_model_2900 | score=1.0 | exp=0.51 | 1500->1501 | 1494->1493
ppo_model_5050 vs ppo_model_2850 | score=1.0 | exp=0.51 | 1501->1502 | 1494->1493
ppo_model_5050 vs ppo_model_600 | score=1.0 | exp=0.51 | 1502->1503 | 1496->1495
ppo_model_5050 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1503->1502 | 1498->1499
ppo_model_4550 vs ppo_model_2500 | score=0.0 | exp=0.50 | 1493->1492 | 1493->1494
ppo_model_4550 vs ppo_model_2900 | score=1.0 | exp=0.50 | 1492->1493 | 1493->1492
ppo_model_4550 vs ppo_model_2850 | score=1.0 | exp=0.50 | 1493->1494 | 1493->1492
ppo_model_4550 vs ppo_model_600 | score=1.0 | exp=0.50 | 1494->1495 | 1495->1494
ppo_model_4550 vs ppo_model_6150 | score=0.0 | exp=0.49 | 1495->1494 | 1499->1500
ppo_model_2500 vs ppo_model_2900 | score=0.0 | exp=0.50 | 1494->1493 | 1492->1493
ppo_model_2500 vs ppo_model_2850 | score=0.0 | exp=0.50 | 1493->1492 | 1492->1493
ppo_model_2500 vs ppo_model_600 | score=1.0 | exp=0.50 | 1492->1493 | 1494->1493
ppo_model_2500 vs ppo_model_6150 | score=0.0 | exp=0.49 | 1493->1492 | 1500->1501
ppo_model_2900 vs ppo_model_2850 | score=0.0 | exp=0.50 | 1493->1492 | 1493->1494
ppo_model_2900 vs ppo_model_600 | score=1.0 | exp=0.50 | 1492->1493 | 1493->1492
ppo_model_2900 vs ppo_model_6150 | score=0.0 | exp=0.49 | 1493->1492 | 1501->1502
ppo_model_2850 vs ppo_model_600 | score=1.0 | exp=0.50 | 1494->1495 | 1492->1491
ppo_model_2850 vs ppo_model_6150 | score=0.0 | exp=0.49 | 1495->1494 | 1502->1503
ppo_model_600 vs ppo_model_6150 | score=0.0 | exp=0.48 | 1491->1490 | 1503->1504
ppo_model_6100 vs ppo_model_6050 | score=1.0 | exp=0.50 | 1504->1505 | 1504->1503
ppo_model_6100 vs ppo_model_6000 | score=1.0 | exp=0.50 | 1505->1506 | 1508->1507
ppo_model_6100 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1506->1507 | 1504->1503
ppo_model_6100 vs ppo_model_5950 | score=1.0 | exp=0.50 | 1507->1508 | 1508->1507
ppo_model_6100 vs ppo_model_5800 | score=0.0 | exp=0.51 | 1508->1507 | 1504->1505
ppo_model_6100 vs ppo_model_5050 | score=1.0 | exp=0.51 | 1507->1508 | 1502->1501
ppo_model_6100 vs ppo_model_4550 | score=1.0 | exp=0.52 | 1508->1509 | 1494->1493
ppo_model_6100 vs ppo_model_2500 | score=1.0 | exp=0.52 | 1509->1510 | 1492->1491
ppo_model_6100 vs ppo_model_2900 | score=1.0 | exp=0.53 | 1510->1511 | 1492->1491
ppo_model_6100 vs ppo_model_2850 | score=1.0 | exp=0.52 | 1511->1512 | 1494->1493
ppo_model_6100 vs ppo_model_600 | score=1.0 | exp=0.53 | 1512->1513 | 1490->1489
ppo_model_6100 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1513->1512 | 1504->1505
ppo_model_6050 vs ppo_model_6000 | score=1.0 | exp=0.49 | 1503->1504 | 1507->1506
ppo_model_6050 vs ppo_model_5900 | score=0.0 | exp=0.50 | 1504->1503 | 1503->1504
ppo_model_6050 vs ppo_model_5950 | score=1.0 | exp=0.49 | 1503->1504 | 1507->1506
ppo_model_6050 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1504->1505 | 1505->1504
ppo_model_6050 vs ppo_model_5050 | score=1.0 | exp=0.51 | 1505->1506 | 1501->1500
ppo_model_6050 vs ppo_model_4550 | score=1.0 | exp=0.52 | 1506->1507 | 1493->1492
ppo_model_6050 vs ppo_model_2500 | score=1.0 | exp=0.52 | 1507->1508 | 1491->1490
ppo_model_6050 vs ppo_model_2900 | score=1.0 | exp=0.52 | 1508->1509 | 1491->1490
ppo_model_6050 vs ppo_model_2850 | score=1.0 | exp=0.52 | 1509->1510 | 1493->1492
ppo_model_6050 vs ppo_model_600 | score=1.0 | exp=0.53 | 1510->1511 | 1489->1488
ppo_model_6050 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1511->1512 | 1505->1504
ppo_model_6000 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1506->1507 | 1504->1503
ppo_model_6000 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1507->1506 | 1506->1507
ppo_model_6000 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1506->1507 | 1504->1503
ppo_model_6000 vs ppo_model_5050 | score=0.0 | exp=0.51 | 1507->1506 | 1500->1501
ppo_model_6000 vs ppo_model_4550 | score=1.0 | exp=0.52 | 1506->1507 | 1492->1491
ppo_model_6000 vs ppo_model_2500 | score=1.0 | exp=0.52 | 1507->1508 | 1490->1489
ppo_model_6000 vs ppo_model_2900 | score=1.0 | exp=0.53 | 1508->1509 | 1490->1489
ppo_model_6000 vs ppo_model_2850 | score=1.0 | exp=0.52 | 1509->1510 | 1492->1491
ppo_model_6000 vs ppo_model_600 | score=1.0 | exp=0.53 | 1510->1511 | 1488->1487
ppo_model_6000 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1511->1512 | 1504->1503
ppo_model_5900 vs ppo_model_5950 | score=1.0 | exp=0.49 | 1503->1504 | 1507->1506
ppo_model_5900 vs ppo_model_5800 | score=1.0 | exp=0.50 | 1504->1505 | 1503->1502
ppo_model_5900 vs ppo_model_5050 | score=1.0 | exp=0.51 | 1505->1506 | 1501->1500
ppo_model_5900 vs ppo_model_4550 | score=1.0 | exp=0.52 | 1506->1507 | 1491->1490
ppo_model_5900 vs ppo_model_2500 | score=1.0 | exp=0.53 | 1507->1508 | 1489->1488
ppo_model_5900 vs ppo_model_2900 | score=1.0 | exp=0.53 | 1508->1509 | 1489->1488
ppo_model_5900 vs ppo_model_2850 | score=1.0 | exp=0.53 | 1509->1510 | 1491->1490
ppo_model_5900 vs ppo_model_600 | score=1.0 | exp=0.53 | 1510->1511 | 1487->1486
ppo_model_5900 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1511->1510 | 1503->1504
ppo_model_5950 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1506->1507 | 1502->1501
ppo_model_5950 vs ppo_model_5050 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_5950 vs ppo_model_4550 | score=1.0 | exp=0.53 | 1508->1509 | 1490->1489
ppo_model_5950 vs ppo_model_2500 | score=1.0 | exp=0.53 | 1509->1510 | 1488->1487
ppo_model_5950 vs ppo_model_2900 | score=1.0 | exp=0.53 | 1510->1511 | 1488->1487
ppo_model_5950 vs ppo_model_2850 | score=1.0 | exp=0.53 | 1511->1512 | 1490->1489
ppo_model_5950 vs ppo_model_600 | score=1.0 | exp=0.54 | 1512->1512 | 1486->1485
ppo_model_5950 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1512->1511 | 1504->1505
ppo_model_5800 vs ppo_model_5050 | score=1.0 | exp=0.50 | 1501->1502 | 1499->1498
ppo_model_5800 vs ppo_model_4550 | score=1.0 | exp=0.52 | 1502->1503 | 1489->1488
ppo_model_5800 vs ppo_model_2500 | score=1.0 | exp=0.52 | 1503->1504 | 1487->1486
ppo_model_5800 vs ppo_model_2900 | score=1.0 | exp=0.52 | 1504->1505 | 1487->1486
ppo_model_5800 vs ppo_model_2850 | score=1.0 | exp=0.52 | 1505->1506 | 1489->1488
ppo_model_5800 vs ppo_model_600 | score=1.0 | exp=0.53 | 1506->1507 | 1485->1485
ppo_model_5800 vs ppo_model_6150 | score=0.0 | exp=0.50 | 1507->1506 | 1505->1506
ppo_model_5050 vs ppo_model_4550 | score=1.0 | exp=0.51 | 1498->1499 | 1488->1487
ppo_model_5050 vs ppo_model_2500 | score=1.0 | exp=0.52 | 1499->1500 | 1486->1485
ppo_model_5050 vs ppo_model_2900 | score=1.0 | exp=0.52 | 1500->1501 | 1486->1485
ppo_model_5050 vs ppo_model_2850 | score=1.0 | exp=0.52 | 1501->1502 | 1488->1487
ppo_model_5050 vs ppo_model_600 | score=0.0 | exp=0.52 | 1502->1501 | 1485->1486
ppo_model_5050 vs ppo_model_6150 | score=0.0 | exp=0.49 | 1501->1500 | 1506->1507
ppo_model_4550 vs ppo_model_2500 | score=1.0 | exp=0.50 | 1487->1488 | 1485->1484
ppo_model_4550 vs ppo_model_2900 | score=1.0 | exp=0.50 | 1488->1489 | 1485->1484
ppo_model_4550 vs ppo_model_2850 | score=1.0 | exp=0.50 | 1489->1490 | 1487->1486
ppo_model_4550 vs ppo_model_600 | score=1.0 | exp=0.51 | 1490->1491 | 1486->1485
ppo_model_4550 vs ppo_model_6150 | score=0.0 | exp=0.48 | 1491->1490 | 1507->1508
ppo_model_2500 vs ppo_model_2900 | score=0.0 | exp=0.50 | 1484->1483 | 1484->1485
ppo_model_2500 vs ppo_model_2850 | score=0.0 | exp=0.50 | 1483->1482 | 1486->1487
ppo_model_2500 vs ppo_model_600 | score=1.0 | exp=0.50 | 1482->1483 | 1485->1484
ppo_model_2500 vs ppo_model_6150 | score=1.0 | exp=0.46 | 1483->1485 | 1508->1507
ppo_model_2900 vs ppo_model_2850 | score=1.0 | exp=0.50 | 1485->1486 | 1487->1486
ppo_model_2900 vs ppo_model_600 | score=1.0 | exp=0.50 | 1486->1487 | 1484->1483
ppo_model_2900 vs ppo_model_6150 | score=0.0 | exp=0.47 | 1487->1487 | 1507->1508
ppo_model_2850 vs ppo_model_600 | score=1.0 | exp=0.51 | 1486->1487 | 1483->1482
ppo_model_2850 vs ppo_model_6150 | score=1.0 | exp=0.47 | 1487->1489 | 1508->1507
ppo_model_600 vs ppo_model_6150 | score=0.0 | exp=0.46 | 1482->1481 | 1507->1508
ppo_model_6100 vs ppo_model_6050 | score=1.0 | exp=0.50 | 1512->1513 | 1512->1511
ppo_model_6100 vs ppo_model_6000 | score=0.0 | exp=0.50 | 1513->1512 | 1512->1513
ppo_model_6100 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1512->1513 | 1510->1509
ppo_model_6100 vs ppo_model_5950 | score=1.0 | exp=0.50 | 1513->1514 | 1511->1510
ppo_model_6100 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1514->1515 | 1506->1505
ppo_model_6100 vs ppo_model_5050 | score=1.0 | exp=0.52 | 1515->1516 | 1500->1499
ppo_model_6100 vs ppo_model_4550 | score=1.0 | exp=0.54 | 1516->1517 | 1490->1489
ppo_model_6100 vs ppo_model_2500 | score=1.0 | exp=0.55 | 1517->1517 | 1485->1484
ppo_model_6100 vs ppo_model_2900 | score=1.0 | exp=0.54 | 1517->1518 | 1487->1486
ppo_model_6100 vs ppo_model_2850 | score=1.0 | exp=0.54 | 1518->1519 | 1489->1488
ppo_model_6100 vs ppo_model_600 | score=1.0 | exp=0.56 | 1519->1520 | 1481->1480
ppo_model_6100 vs ppo_model_6150 | score=0.0 | exp=0.52 | 1520->1519 | 1508->1509
ppo_model_6050 vs ppo_model_6000 | score=1.0 | exp=0.50 | 1511->1512 | 1513->1512
ppo_model_6050 vs ppo_model_5900 | score=1.0 | exp=0.50 | 1512->1513 | 1509->1508
ppo_model_6050 vs ppo_model_5950 | score=1.0 | exp=0.50 | 1513->1514 | 1510->1509
ppo_model_6050 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1514->1515 | 1505->1504
ppo_model_6050 vs ppo_model_5050 | score=1.0 | exp=0.52 | 1515->1516 | 1499->1498
ppo_model_6050 vs ppo_model_4550 | score=1.0 | exp=0.54 | 1516->1517 | 1489->1489
ppo_model_6050 vs ppo_model_2500 | score=1.0 | exp=0.55 | 1517->1517 | 1484->1483
ppo_model_6050 vs ppo_model_2900 | score=1.0 | exp=0.55 | 1517->1518 | 1486->1485
ppo_model_6050 vs ppo_model_2850 | score=1.0 | exp=0.54 | 1518->1519 | 1488->1487
ppo_model_6050 vs ppo_model_600 | score=1.0 | exp=0.56 | 1519->1520 | 1480->1479
ppo_model_6050 vs ppo_model_6150 | score=1.0 | exp=0.52 | 1520->1521 | 1509->1508
ppo_model_6000 vs ppo_model_5900 | score=0.0 | exp=0.51 | 1512->1510 | 1508->1509
ppo_model_6000 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1510->1509 | 1509->1510
ppo_model_6000 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1509->1510 | 1504->1503
ppo_model_6000 vs ppo_model_5050 | score=1.0 | exp=0.52 | 1510->1511 | 1498->1497
ppo_model_6000 vs ppo_model_4550 | score=1.0 | exp=0.53 | 1511->1512 | 1489->1488
ppo_model_6000 vs ppo_model_2500 | score=1.0 | exp=0.54 | 1512->1513 | 1483->1482
ppo_model_6000 vs ppo_model_2900 | score=1.0 | exp=0.54 | 1513->1514 | 1485->1484
ppo_model_6000 vs ppo_model_2850 | score=1.0 | exp=0.54 | 1514->1515 | 1487->1486
ppo_model_6000 vs ppo_model_600 | score=1.0 | exp=0.55 | 1515->1516 | 1479->1478
ppo_model_6000 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1516->1517 | 1508->1507
ppo_model_5900 vs ppo_model_5950 | score=0.0 | exp=0.50 | 1509->1508 | 1510->1511
ppo_model_5900 vs ppo_model_5800 | score=1.0 | exp=0.51 | 1508->1509 | 1503->1502
ppo_model_5900 vs ppo_model_5050 | score=1.0 | exp=0.52 | 1509->1510 | 1497->1496
ppo_model_5900 vs ppo_model_4550 | score=1.0 | exp=0.53 | 1510->1511 | 1488->1487
ppo_model_5900 vs ppo_model_2500 | score=1.0 | exp=0.54 | 1511->1511 | 1482->1481
ppo_model_5900 vs ppo_model_2900 | score=1.0 | exp=0.54 | 1511->1512 | 1484->1483
ppo_model_5900 vs ppo_model_2850 | score=1.0 | exp=0.54 | 1512->1513 | 1486->1485
ppo_model_5900 vs ppo_model_600 | score=1.0 | exp=0.55 | 1513->1514 | 1478->1477
ppo_model_5900 vs ppo_model_6150 | score=0.0 | exp=0.51 | 1514->1513 | 1507->1508
ppo_model_5950 vs ppo_model_5800 | score=0.0 | exp=0.51 | 1511->1510 | 1502->1503
ppo_model_5950 vs ppo_model_5050 | score=1.0 | exp=0.52 | 1510->1511 | 1496->1495
ppo_model_5950 vs ppo_model_4550 | score=1.0 | exp=0.54 | 1511->1512 | 1487->1486
ppo_model_5950 vs ppo_model_2500 | score=1.0 | exp=0.55 | 1512->1513 | 1481->1480
ppo_model_5950 vs ppo_model_2900 | score=1.0 | exp=0.54 | 1513->1514 | 1483->1482
ppo_model_5950 vs ppo_model_2850 | score=1.0 | exp=0.54 | 1514->1515 | 1485->1484
ppo_model_5950 vs ppo_model_600 | score=1.0 | exp=0.55 | 1515->1516 | 1477->1476
ppo_model_5950 vs ppo_model_6150 | score=1.0 | exp=0.51 | 1516->1517 | 1508->1507
ppo_model_5800 vs ppo_model_5050 | score=1.0 | exp=0.51 | 1503->1504 | 1495->1494
